"id_no"|"order_"|"family"|"genus"|"binomial"|"endemic"|"v_range_sqkm"|"r_range_sqkm"|"aoh_92_sqkm"|"aoh_22_sqkm"|"aoh_perc_range"|"aoh_gain_loss_perc"|"ecosystems"|"category"|"threatened"|"habitats"
1676|"Cetartiodactyla"|"Bovidae"|"Antidorcas"|"Antidorcas marsupialis"|NULL|1950023.6018687682|1950023.0833078143|1724172.2834970418|1705191.5428863154|87.4446850133593|-0.011008610213956601|"{terrestrial}"|"LC"|NULL|"{2.1,3.5,4.5,8.2}"
1677|"Cetartiodactyla"|"Antilocapridae"|"Antilocapra"|"Antilocapra americana"|NULL|2007668.1382660728|2007666.6183372003|1283513.827053499|1264034.4276762237|62.96037480182485|-0.015176618254275593|"{terrestrial}"|"LC"|NULL|"{3.8,4.4,8.2}"
1681|"Cetartiodactyla"|"Bovidae"|"Antilope"|"Antilope cervicapra"|NULL|1753999.2210848266|1754001.3382342653|1461070.586849241|1445332.2869014808|82.40200593897389|-0.010771758797567416|"{terrestrial}"|"LC"|NULL|"{14.1,14.2,1.5,4.5,8.1}"
1789|"Chiroptera"|"Vespertilionidae"|"Bauerus"|"Bauerus dubiaquercus"|NULL|265261.263587945|265261.3282860959|188280.7675172832|167695.22785185912|63.21887511284439|-0.10933426678077697|"{terrestrial}"|"NT"|NULL|"{1.4,14.5,1.5}"
1790|"Chiroptera"|"Vespertilionidae"|"Antrozous"|"Antrozous pallidus"|NULL|4367059.386139684|4367063.450811357|1025447.738233735|1010132.361443407|23.130700362407932|-0.014935307007169045|"{terrestrial}"|"LC"|NULL|"{1.5,1.6,6,7.1}"
1793|"Carnivora"|"Mustelidae"|"Aonyx"|"Aonyx capensis"|NULL|11816860.445058312|11816862.666319992|459354.4777343826|469805.87455594196|3.9757242495080036|0.022752356465767967|"{marine,terrestrial,freshwater}"|"NT"|NULL|"{12.5,13.4,13.5,15.1,15.2,15.3,15.9,1.7,1.8,4.6,5.1,5.13,5.14,5.15,5.16,5.17,5.2,5.3,5.4,5.5,5.6,5.7,5.8,9.10}"
1794|"Carnivora"|"Mustelidae"|"Aonyx"|"Aonyx congicus"|NULL|2924368.172061953|2924367.437922973|1993907.7419849806|1976684.1506040639|67.59356314020512|-0.008638108483279316|"{terrestrial,freshwater}"|"NT"|NULL|"{15.2,15.9,1.6,1.7,1.8,5.1,5.13,5.2,5.3,5.4,5.5,5.6,5.7,5.8}"
1802|"Primates"|"Aotidae"|"Aotus"|"Aotus miconax"|True|27627.689140226335|27627.68890091776|25614.975536892274|25566.527573870324|92.53950869926378|-0.0018913921253671515|"{terrestrial}"|"EN"|True|"{1.8,1.9}"
1807|"Primates"|"Aotidae"|"Aotus"|"Aotus griseimembra"|NULL|234100.60895595816|234100.59704434365|90700.67135859489|90880.73029771073|38.82122961031833|0.0019851996288314157|"{terrestrial}"|"VU"|True|"{1.5,1.6}"
1808|"Primates"|"Aotidae"|"Aotus"|"Aotus lemurinus"|NULL|177185.80998851155|177185.81053022871|113005.61881756553|109101.43561873512|61.5745895747797|-0.03454857589986968|"{terrestrial}"|"VU"|True|"{1.9}"
1869|"Rodentia"|"Aplodontiidae"|"Aplodontia"|"Aplodontia rufa"|NULL|245496.19524981373|245497.00548617903|203451.4910609075|198930.57329684962|81.03177181444235|-0.022221109024482103|"{terrestrial}"|"LC"|NULL|"{1.4,3.4,5.1}"
1888|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus agrarius"|NULL|11531261.016161362|11531263.56715256|10768063.080554252|10803127.413714431|93.68554756208796|0.003256326871217949|"{terrestrial}"|"LC"|NULL|"{1.4,14.1,14.2,14.4,14.5,4.4,5.4}"
1890|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus chevrieri"|True|720376.732993676|720376.7169003747|512370.65054006345|531474.3673408155|73.77728275667137|0.037284955296748155|"{terrestrial}"|"LC"|NULL|"{1.4,14.1,14.2,4.4}"
1891|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus draco"|NULL|1798399.5007574845|1798399.5557866753|804756.4534115461|816104.6911553798|45.379498039210226|0.014101456031481224|"{terrestrial}"|"LC"|NULL|"{1.4,3.4,3.5,4}"
1892|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus flavicollis"|NULL|6066208.019057614|6066207.32317397|1943204.613162104|1896628.864362623|31.265480444711642|-0.023968525230953417|"{terrestrial}"|"LC"|NULL|"{1.1,1.4,1.5,3.4,3.5}"
1894|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus gurkha"|True|12705.968522998737|12705.970425310154|5121.714242936236|5239.522919822886|41.23670010584799|0.02300180589909519|"{terrestrial}"|"LC"|NULL|"{1.4}"
1896|"Rodentia"|"Muridae"|"Apodemus"|"Apodemus hyrcanicus"|NULL|48643.21969847346|48643.16630113179|14511.833557906408|12337.289996862537|25.362843200804306|-0.1498462308271945|"{terrestrial}"|"NT"|NULL|"{1.4}"
