"id"|"iucn_code"|"iucn_habitat_description"|"hl1"|"hl2"|"hl3"|"esa_cci_code"|"esa_cci_description"
157|"14.3"|"Artificial/Terrestrial - Plantations"|14|3|0|12|"Cropland, rainfed, Tree or shrub cover"
158|"14.4"|"Artificial/Terrestrial - Rural Gardens"|14|4|0|30|"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)"
159|"14.4"|"Artificial/Terrestrial - Rural Gardens"|14|4|0|40|"Mosaic natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)"
160|"14.5"|"Artificial/Terrestrial - Urban Areas"|14|5|0|190|"Urban areas"
161|"14.6"|"Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former"|14|6|0|30|"Mosaic cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)"
163|"15.1"|"Artificial/Aquatic - Karst and Other Subterranean Hydrological Systems (human-made)"|15|1|0|0|"NA"
162|"15.1"|"Artificial/Aquatic - Water Storage Areas (over 8ha)"|15|1|0|210|"Water bodies"
164|"15.2"|"Artificial/Aquatic - Ponds (below 8ha)"|15|2|0|210|"Water bodies"
165|"15.3"|"Artificial/Aquatic - Aquaculture Ponds"|15|3|0|210|"Water bodies"
166|"15.4"|"Artificial/Aquatic - Salt Exploitation Sites"|15|4|0|202|"Unconsolidated bare areas"
167|"15.5"|"Artificial/Aquatic - Excavations (open)"|15|5|0|202|"Unconsolidated bare areas"
168|"15.6"|"Artificial/Aquatic - Wastewater Treatment Areas"|15|6|0|190|"Urban areas"
169|"15.7"|"Artificial/Aquatic - Irrigated Land (includes irrigation channels)"|15|7|0|20|"Cropland, irrigated or post-flooding"
170|"15.8"|"Artificial/Aquatic - Seasonally Flooded Agricultural Land"|15|8|0|20|"Cropland, irrigated or post-flooding"
171|"15.9"|"Artificial/Aquatic - Canals and Drainage Channels, Ditches"|15|9|0|210|"Water bodies"
172|"16"|"Introduced vegetation"|16|0|0|0|"NA"
173|"17"|"Other"|17|0|0|0|"NA"
174|"18"|"Unknown"|18|0|0|0|"NA"
